What PRON 0 0
if SCONJ 0 1
Google PROPN 0 2
Morphed VERB 0 3
Into ADP 0 4
GoogleOS PROPN 0 5
? PUNCT 0 6

What PRON 1 0
if SCONJ 1 1
Google PROPN 1 2
expanded VERB 1 3
on ADP 1 4
its PRON 1 5
search NOUN 1 6
- PUNCT 1 7
engine NOUN 1 8
( PUNCT 1 9
and CCONJ 1 10
now ADV 1 11
e-mail NOUN 1 12
) PUNCT 1 13
wares NOUN 1 14
into ADP 1 15
a DET 1 16
full ADV 1 17
- PUNCT 1 18
fledged ADJ 1 19
operating NOUN 1 20
system NOUN 1 21
? PUNCT 1 22

[ PUNCT 2 0
via ADP 2 1
Microsoft PROPN 2 2
Watch PROPN 2 3
from ADP 2 4
Mary PROPN 2 5
Jo PROPN 2 6
Foley PROPN 2 7
] PUNCT 2 8

