What PRON 0 0
if SCONJ 0 1
Google PROPN 0 2
Morphed VERB 0 3
Into ADP 0 4
GoogleOS PROPN 0 5
? PUNCT 0 6

What PRON 1 0
if SCONJ 1 1
Google PROPN 1 2
expanded VERB 1 3
on ADP 1 4
its PRON 1 5
search NOUN 1 6
- PUNCT 1 7
engine NOUN 1 8
( PUNCT 1 9
and CCONJ 1 10
now ADV 1 11
e-mail NOUN 1 12
) PUNCT 1 13
wares NOUN 1 14
into ADP 1 15
a DET 1 16
full ADV 1 17
- PUNCT 1 18
fledged ADJ 1 19
operating NOUN 1 20
system NOUN 1 21
? PUNCT 1 22

[ PUNCT 2 0
via ADP 2 1
Microsoft PROPN 2 2
Watch PROPN 2 3
from ADP 2 4
Mary PROPN 2 5
Jo PROPN 2 6
Foley PROPN 2 7
] PUNCT 2 8

( PUNCT 3 0
And CCONJ 3 1
, PUNCT 3 2
by ADP 3 3
the DET 3 4
way NOUN 3 5
, PUNCT 3 6
is AUX 3 7
anybody PRON 3 8
else ADJ 3 9
just ADV 3 10
a DET 3 11
little ADJ 3 12
nostalgic NOUN 3 13
for ADP 3 14
the DET 3 15
days NOUN 3 16
when ADV 3 17
that PRON 3 18
was AUX 3 19
a DET 3 20
good ADJ 3 21
thing NOUN 3 22
? PUNCT 3 23
) PUNCT 3 24

This DET 4 0
BuzzMachine PROPN 4 1
post NOUN 4 2
argues VERB 4 3
that SCONJ 4 4
Google PROPN 4 5
's PART 4 6
rush NOUN 4 7
toward ADP 4 8
ubiquity NOUN 4 9
might AUX 4 10
backfire VERB 4 11
-- PUNCT 4 12
which PRON 4 13
we PRON 4 14
've AUX 4 15
all ADV 4 16
heard VERB 4 17
before ADV 4 18
, PUNCT 4 19
but CCONJ 4 20
it PRON 4 21
's AUX 4 22
particularly ADV 4 23
well ADV 4 24
- PUNCT 4 25
put VERB 4 26
in ADP 4 27
this DET 4 28
post NOUN 4 29
. PUNCT 4 30

Google PROPN 5 0
is AUX 5 1
a DET 5 2
nice ADJ 5 3
search NOUN 5 4
engine NOUN 5 5
. PUNCT 5 6

Does AUX 6 0
anybody PRON 6 1
use VERB 6 2
it PRON 6 3
for ADP 6 4
anything PRON 6 5
else ADJ 6 6
? PUNCT 6 7

They PRON 7 0
own VERB 7 1
blogger PROPN 7 2
, PUNCT 7 3
of ADP 7 4
course NOUN 7 5
. PUNCT 7 6

Is AUX 8 0
that PRON 8 1
a DET 8 2
money NOUN 8 3
maker NOUN 8 4
? PUNCT 8 5

I PRON 9 0
'm AUX 9 1
staying VERB 9 2
away ADV 9 3
from ADP 9 4
the DET 9 5
stock NOUN 9 6
. PUNCT 9 7

