0 0 What PRON PRON
0 1 if SCONJ SCONJ
0 2 Google PROPN PROPN
0 3 Morphed VERB VERB
0 4 Into ADP ADP
0 5 GoogleOS PROPN PROPN
0 6 ? PUNCT PUNCT
1 0 What PRON PRON
1 1 if SCONJ SCONJ
1 2 Google PROPN PROPN
1 3 expanded VERB VERB
1 4 on ADP ADP
1 5 its PRON PRON
1 6 search NOUN NOUN
1 7 - PUNCT PUNCT
1 8 engine NOUN NOUN
1 9 ( PUNCT PUNCT
1 10 and CCONJ CCONJ
1 11 now ADV ADV
1 12 e-mail NOUN NOUN
1 13 ) PUNCT PUNCT
1 14 wares NOUN NOUN
1 15 into ADP ADP
1 16 a DET DET
1 17 full ADV ADV
1 18 - PUNCT PUNCT
1 19 fledged ADJ ADJ
1 20 operating NOUN NOUN
1 21 system NOUN NOUN
1 22 ? PUNCT PUNCT
2 0 [ PUNCT PUNCT
2 1 via ADP ADP
2 2 Microsoft PROPN PROPN
2 3 Watch PROPN PROPN
2 4 from ADP ADP
2 5 Mary PROPN PROPN
2 6 Jo PROPN PROPN
2 7 Foley PROPN PROPN
2 8 ] PUNCT PUNCT
