0 0 What PRON PRON
0 1 if SCONJ SCONJ
0 2 Google PROPN PROPN
0 3 Morphed VERB VERB
0 4 Into ADP ADP
0 5 GoogleOS PROPN PROPN
0 6 ? PUNCT PUNCT
1 0 What PRON PRON
1 1 if SCONJ SCONJ
1 2 Google PROPN PROPN
1 3 expanded VERB VERB
1 4 on ADP ADP
1 5 its PRON PRON
1 6 search NOUN NOUN
1 7 - PUNCT PUNCT
1 8 engine NOUN NOUN
1 9 ( PUNCT PUNCT
1 10 and CCONJ CCONJ
1 11 now ADV ADV
1 12 e-mail NOUN NOUN
1 13 ) PUNCT PUNCT
1 14 wares NOUN NOUN
1 15 into ADP ADP
1 16 a DET DET
1 17 full ADV ADV
1 18 - PUNCT PUNCT
1 19 fledged ADJ ADJ
1 20 operating NOUN NOUN
1 21 system NOUN NOUN
1 22 ? PUNCT PUNCT
2 0 [ PUNCT PUNCT
2 1 via ADP ADP
2 2 Microsoft PROPN PROPN
2 3 Watch PROPN PROPN
2 4 from ADP ADP
2 5 Mary PROPN PROPN
2 6 Jo PROPN PROPN
2 7 Foley PROPN PROPN
2 8 ] PUNCT PUNCT
3 0 ( PUNCT PUNCT
3 1 And CCONJ CCONJ
3 2 , PUNCT PUNCT
3 3 by ADP ADP
3 4 the DET DET
3 5 way NOUN NOUN
3 6 , PUNCT PUNCT
3 7 is AUX AUX
3 8 anybody PRON PRON
3 9 else ADJ ADV
3 10 just ADV ADV
3 11 a DET DET
3 12 little ADJ ADJ
3 13 nostalgic NOUN ADJ
3 14 for ADP ADP
3 15 the DET DET
3 16 days NOUN NOUN
3 17 when ADV SCONJ
3 18 that PRON PRON
3 19 was AUX AUX
3 20 a DET DET
3 21 good ADJ ADJ
3 22 thing NOUN NOUN
3 23 ? PUNCT PUNCT
3 24 ) PUNCT PUNCT
4 0 This DET DET
4 1 BuzzMachine PROPN PROPN
4 2 post NOUN NOUN
4 3 argues VERB VERB
4 4 that SCONJ SCONJ
4 5 Google PROPN PROPN
4 6 's PART PART
4 7 rush NOUN NOUN
4 8 toward ADP ADP
4 9 ubiquity NOUN NOUN
4 10 might AUX AUX
4 11 backfire VERB VERB
4 12 -- PUNCT PUNCT
4 13 which PRON PRON
4 14 we PRON PRON
4 15 've AUX AUX
4 16 all ADV ADV
4 17 heard VERB VERB
4 18 before ADV ADV
4 19 , PUNCT PUNCT
4 20 but CCONJ CCONJ
4 21 it PRON PRON
4 22 's AUX AUX
4 23 particularly ADV ADV
4 24 well ADV ADV
4 25 - PUNCT PUNCT
4 26 put VERB VERB
4 27 in ADP ADP
4 28 this DET DET
4 29 post NOUN NOUN
4 30 . PUNCT PUNCT
5 0 Google PROPN PROPN
5 1 is AUX AUX
5 2 a DET DET
5 3 nice ADJ ADJ
5 4 search NOUN NOUN
5 5 engine NOUN NOUN
5 6 . PUNCT PUNCT
6 0 Does AUX AUX
6 1 anybody PRON PRON
6 2 use VERB VERB
6 3 it PRON PRON
6 4 for ADP ADP
6 5 anything PRON PRON
6 6 else ADJ ADV
6 7 ? PUNCT PUNCT
7 0 They PRON PRON
